State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
TX,Bosque County,"24.1","32.0","28.4","15.4","2,265","4,467","3,795","2,261","17.7","34.9","29.7","17.7"
TX,Bowie County,"22.7","31.8","29.3","16.1","7,877","22,357","20,806","11,790","12.5","35.6","33.1","18.8"
TX,Brazoria County,"20.5","27.2","32.7","19.6","29,112","57,362","69,532","62,870","13.3","26.2","31.8","28.7"
TX,Brazos County,"18.7","20.1","24.2","37.0","15,385","21,021","28,098","42,605","14.4","19.6","26.2","39.8"
TX,Brewster County,"21.4","21.1","29.8","27.7","892","1,513","1,782","2,354","13.6","23.1","27.2","36.0"
TX,Briscoe County,"25.2","30.4","26.8","17.5","259","306","321","264","22.5","26.6","27.9","23.0"
TX,Brooks County,"50.1","23.4","19.6","6.8","1,249","1,277","1,078","614","29.6","30.3","25.6","14.6"
TX,Brown County,"25.4","35.0","24.6","15.0","3,812","9,391","7,692","4,751","14.9","36.6","30.0","18.5"
TX,Burleson County,"28.9","37.5","20.4","13.2","2,366","4,744","3,185","1,788","19.6","39.3","26.4","14.8"
TX,Burnet County,"22.2","32.5","27.9","17.4","4,309","9,745","9,866","7,146","13.9","31.4","31.8","23.0"
TX,Caldwell County,"28.7","34.8","23.3","13.3","5,309","9,199","7,200","3,742","20.9","36.1","28.3","14.7"
TX,Calhoun County,"31.0","33.1","23.8","12.1","2,815","4,845","4,576","2,230","19.5","33.5","31.6","15.4"
TX,Callahan County,"20.7","38.1","28.9","12.3","1,144","3,869","3,096","1,399","12.0","40.7","32.6","14.7"
TX,Cameron County,"44.8","20.1","21.8","13.4","83,248","60,394","57,476","40,535","34.4","25.0","23.8","16.8"
TX,Camp County,"30.5","32.6","24.7","12.2","1,538","3,119","2,295","1,226","18.8","38.1","28.1","15.0"
TX,Carson County,"17.4","31.0","36.0","15.5","311","1,124","1,513","1,059","7.8","28.1","37.8","26.4"
TX,Cass County,"25.0","38.2","24.8","12.0","3,004","9,589","5,632","3,077","14.1","45.0","26.4","14.4"
TX,Castro County,"34.6","29.7","21.1","14.7","1,389","1,495","1,201","617","29.5","31.8","25.5","13.1"
TX,Chambers County,"23.1","32.5","32.4","12.1","3,923","7,067","8,100","5,116","16.2","29.2","33.5","21.1"
TX,Cherokee County,"31.6","32.0","25.0","11.4","6,816","11,252","9,488","5,788","20.4","33.7","28.5","17.4"
TX,Childress County,"35.0","30.9","25.4","8.6","703","1,935","1,391","742","14.7","40.6","29.2","15.6"
TX,Clay County,"19.6","39.6","26.9","13.9","793","3,101","2,303","1,209","10.7","41.9","31.1","16.3"
TX,Cochran County,"37.3","28.2","24.3","10.2","553","588","529","175","30.0","31.9","28.7","9.5"
TX,Coke County,"25.8","34.0","25.5","14.7","349","830","715","488","14.7","34.8","30.0","20.5"
